#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
33093	4383896	14254602	G128_gp01ab_nsp12	nsp12ab	ORF1ab|nsp12|rep|1AB|MERS-CoV nsp12|orf1ab-nsp12|orf1ab-nsp12ab|nsp12ab|RNA polymerase|R1AB_CVEMC|PRO_0000422449	1335626	Middle-East Respiratory Syndrome-related Coronavirus	inhibitor/mers-cov inhibitor	target	Agostini ML (2019)	31578288	239597	9952	Molnupiravir	3,4-Dihydrocytidine, N-hydroxy-, 5'-(2-methylpropanoate)|N-Hydroxy-5'-O-isobutyryl-3,4-dihydrocytidine|EIDD-2801|Molnupiravir	-	CHEMSPIDER	84400552	C13H19N3O7	small molecule	-	2349386-89-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project MERS-CoV direct chemical interaction: Viral RNA-directed RNA polymerase inhibitor	HTNPEHXGEKVIHG-QCNRFFRDSA-N
33094	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Fu Z (2021)	33473130	230134	7430	GRL0617	5-amino-2-methyl-N-[(1R)-1-naphthalen-1-ylethyl]benzamide	-	DRUGBANK	DB08656	C20H20N2O	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral PLpro papain-like protease; antiviral activity against SARS-CoV-2 in Vero E6 cells	UVERBUNNCOKGNZ-CQSZACIVSA-N
33095	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Unoh Y (2022)	35352927	239599	9978	Ensitrelvir	1,3,5-Triazine-2,4(1H,3H)-dione, 6-[(6-chloro-2-methyl-2H-indazol-5-yl)imino]dihydro-3-[(1-methyl-1H-1,2,4-triazol-3-yl)methyl]-1-[(2,4,5-trifluorophenyl)methyl]-, (6E)-|(6E)-6-[(6-Chloro-2-methyl-2H-indazol-5-yl)imino]-3-[(1-methyl-1H-1,2,4-triazol-3-yl)methyl]-1-(2,4,5-trifluorobenzyl)-1,3,5-triazinane-2,4-dione	-	CHEMSPIDER	115007411	C22H17ClF3N9O2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor; antiviral activity against SARS-CoV-2 in VeroE6/TMPRSS2 cells	QMPBBNUOBOFBFS-UHFFFAOYSA-N
33096	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Swaim CD (2021)	34632326	234511	344	Tioguanine	2-Amino-6-mercaptopurine|2-Amino-6-purinethiol|Tioguanin|2-aminopurine-6-thiol|6-TG|Tioguanine|2-amino-1,9-Dihydropurine-6-thione|2-Amino-1,7-dihydro-6H-purine-6-thione|6-Thioguanine|Thioguanine|2-Aminopurin-6-thiol|6-Mercaptoguanine|2-Amino 6mp|2-amino-1H-purine-6(7H)-thione|Tioguanina|ThG|TG|Tioguaninum|2-Amino-6-merkaptopurin|2-Aminopurine-6(1H)-thione|6-Mercapto-2-aminopurine|6-thioguanine	tabloid|lanvis	DRUGBANK	DB00352	C5H5N5S	small molecule	L01BB03	154-42-7	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor; antiviral activity against SARS-CoV-2 in Vero E6 cells	WYWHKKSPHMUBEB-UHFFFAOYSA-N
33098	4383864	43740578	GU280_gp01_nsp16	nsp16	ORF1ab|ORF1ab-nsp16|SARS-CoV2 nsp16|SARS-CoV-2 nsp16|2-O-methyltransferase|R1AB_SARS2|PRO_0000449633	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Krafcikova P (2020)	32709887	238333	1836	Sinefungin	Adenosyl-ornithine|6,9-Diamino-1-(6-amino-9H-purin-9-yl)-1,5,6,7,8,9-hexadeoxydecofuranuronic acid|(2S,5S)-2,5-diamino-6-[(2R,3S,R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]hexanoic acid|sinefunginum|6,9-Diamino-1-(6-amino-9H-purin-9-yl)-1,5,6,7,8,9-hexadeoxy-beta-D-ribo-decofuranuronic acid|sinefungina|sinefungine	-	DRUGBANK	DB01910	C15H23N7O5	small molecule	-	58944-73-3	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: pan-MTase inhibitor	LMXOHSDXUQEUSF-YECHIGJVSA-N
33099	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Hoffman RL (2020)	33054210	239600	9959	PF-00835231	1H-Indole-2-carboxamide, N-[(1S)-1-[[[(1S)-3-hydroxy-2-oxo-1-[[(3S)-2-oxo-3-pyrrolidinyl]methyl]propyl]amino]carbonyl]-3-methylbutyl]-4-methoxy-|N-[(2S)-1-({(2S)-4-Hydroxy-3-oxo-1-[(3S)-2-oxo-3-pyrrolidinyl]-2-butanyl}amino)-4-methyl-1-oxo-2-pentanyl]-4-methoxy-1H-indole-2-carboxamide	-	CHEMSPIDER	9736673	C24H32N4O6	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	QDIMHKWNHMVDJB-WBAXXEDZSA-N
33100	4383943	1489680	SARS-CoV-1ab-nsp5ab	nsp5ab	nsp5|sars1ab|orf1ab|SARS-CoV nsp5ab|SARS-CoV nsp5|SARS-CoV sars1ab|orf1ab-nsp5|orf1ab-nsp5ab|pp1ab|3C-like proteinase|3CL-PRO|3CLp|R1AB_CVHSA|PRO_0000037312	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor/sars-cov inhibitor	target	Hoffman RL (2020)	33054210	239600	9959	PF-00835231	1H-Indole-2-carboxamide, N-[(1S)-1-[[[(1S)-3-hydroxy-2-oxo-1-[[(3S)-2-oxo-3-pyrrolidinyl]methyl]propyl]amino]carbonyl]-3-methylbutyl]-4-methoxy-|N-[(2S)-1-({(2S)-4-Hydroxy-3-oxo-1-[(3S)-2-oxo-3-pyrrolidinyl]-2-butanyl}amino)-4-methyl-1-oxo-2-pentanyl]-4-methoxy-1H-indole-2-carboxamide	-	CHEMSPIDER	9736673	C24H32N4O6	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	QDIMHKWNHMVDJB-WBAXXEDZSA-N
33101	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Dai W (2020)	32321856	239601	9982	MPro Inhibitor 11a	1H-Indole-2-carboxamide, N-[(1S)-1-(cyclohexylmethyl)-2-[[(1S)-1-formyl-2-[(3S)-2-oxo-3-pyrrolidinyl]ethyl]amino]-2-oxoethyl]-|MPro Inhibitor 11a|N-[(2S)-3-Cyclohexyl-1-oxo-1-({(2S)-1-oxo-3-[(3S)-2-oxo-3-pyrrolidinyl]-2-propanyl}amino)-2-propanyl]-1H-indole-2-carboxamide|Bofutrelvir	-	CHEMSPIDER	88294718	C25H32N4O4	small molecule	-	2103278-86-8	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	HPKJGHVHQWJOOT-ZJOUEHCJSA-N
33102	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Dai W (2020)	32321856	239601	9981	MPro Inhibitor 11b	MPro Inhibitor 11b|3-Fluoro-Nalpha-(1H-indol-2-ylcarbonyl)-N-{(2S)-1-oxo-3-[(3S)-2-oxo-3-pyrrolidinyl]-2-propanyl}-L-phenylalaninamide|1H-Indole-2-carboxamide, N-[(1S)-1-[(3-fluorophenyl)methyl]-2-[[(1S)-1-formyl-2-[(3S)-2-oxo-3-pyrrolidinyl]ethyl]amino]-2-oxoethyl]-	-	CHEMSPIDER	88294719	C25H25FN4O4	small molecule	-	2413716-71-7	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	HCRBVFBQANEDDM-CUWPLCDZSA-N
33103	4383950	1489680	SARS-CoV-1ab-nsp13ab	nsp13ab	nsp13|sars1ab|orf1ab|SARS-CoV nsp13ab|SARS-CoV nsp13|SARS-CoV sars1ab|orf1ab-nsp13|orf1ab-nsp13ab|pp1ab|Helicase|Hel|R1AB_CVHSA|PRO_0000037319	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor/sars-cov inhibitor	target	Adedeji AO (2012)	22733076	239602	9957	SSYA10-001	4-allyl-5-{[(2-nitrophenyl)thio]methyl}-4H-1,2,4-triazole-3-thiol|3H-1,2,4-Triazole-3-thione, 2,4-dihydro-5-[[(2-nitrophenyl)thio]methyl]-4-(2-propen-1-yl)-|4-Allyl-5-{[(2-nitrophenyl)sulfanyl]methyl}-2,4-dihydro-3H-1,2,4-triazole-3-thione	-	CHEMSPIDER	2085693	C12H12N4O2S2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV direct chemical interaction: Viral helicase inhibitor	VWFIHGWHMXSTAO-UHFFFAOYSA-N
33104	4383897	14254602	G128_gp01ab_nsp13	nsp13ab	ORF1ab|nsp13|rep|1AB|MERS-CoV nsp13|orf1ab-nsp13|orf1ab-nsp13ab|nsp13ab|Helicase|R1AB_CVEMC|PRO_0000422450	1335626	Middle-East Respiratory Syndrome-related Coronavirus	inhibitor/mers-cov inhibitor	target	Adedeji AO (2014)	24841268	239603	9957	SSYA10-001	4-allyl-5-{[(2-nitrophenyl)thio]methyl}-4H-1,2,4-triazole-3-thiol|3H-1,2,4-Triazole-3-thione, 2,4-dihydro-5-[[(2-nitrophenyl)thio]methyl]-4-(2-propen-1-yl)-|4-Allyl-5-{[(2-nitrophenyl)sulfanyl]methyl}-2,4-dihydro-3H-1,2,4-triazole-3-thione	-	CHEMSPIDER	2085693	C12H12N4O2S2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project MERS-CoV direct chemical interaction: Viral helicase inhibitor	VWFIHGWHMXSTAO-UHFFFAOYSA-N
33105	4383950	1489680	SARS-CoV-1ab-nsp13ab	nsp13ab	nsp13|sars1ab|orf1ab|SARS-CoV nsp13ab|SARS-CoV nsp13|SARS-CoV sars1ab|orf1ab-nsp13|orf1ab-nsp13ab|pp1ab|Helicase|Hel|R1AB_CVHSA|PRO_0000037319	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor/sars-cov inhibitor	target	Tanner JA (2005)	15797214	239604	9938	Bananin	AKOS016036756|BANANIN|HY-145113|CS-0356439	-	PUBCHEM	59053860	C14H17NO8	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV direct chemical interaction: Viral helicase inhibitor	-
33106	4383951	1489680	SARS-CoV-1ab-nsp14ab	nsp14ab	nsp14|sars1ab|orf1ab|SARS-CoV nsp14ab|SARS-CoV nsp14|SARS-CoV sars1ab|orf1ab-nsp14|orf1ab-nsp14ab|pp1ab|Guanine-N7 methyltransferase|ExoN|R1AB_CVHSA|PRO_0000037320	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor/sars-cov-2 inhibitor	target	Bouvet M (2010)	20421945	238722	9963	Aurintricarboxylic acid	ATA|Aurintricarboxylic acid|Benzoic acid, 5-((3-carboxy-4-hydroxyphenyl)(3-carboxy-4-oxo-2,5-cyclohexadien-1-ylidene)methyl)-2-hydroxy-|3,3'-[(3-carboxy-4-oxocyclohexa-2,5-dien-1-ylidene)methanediyl]bis(6-hydroxybenzoic acid)|3,3'-[(3-Carboxy-4-oxocyclohexa-2,5-dien-1-ylidene)methylene]bis(6-hydroxybenzoic acid)|3,3'-[(3-Carboxy-4-oxo-2,5-cyclohexadien-1-ylidene)methylene]bis(6-hydroxybenzoic acid)|MFCD00011663	-	CHEMSPIDER	2172	C22H14O9	small molecule	-	4431-00-9	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV direct chemical interaction: pan-MTase inhibitor	GIXWDMTZECRIJT-UHFFFAOYSA-N
33107	4383953	1489680	SARS-CoV-1ab-nsp16ab	nsp16ab	nsp16|sars1ab|orf1ab|SARS-CoV nsp16ab|SARS-CoV nsp16|SARS-CoV sars1ab|orf1ab-nsp16|orf1ab-nsp16ab|pp1ab|2-O-methyltransferase|R1AB_CVHSA|PRO_0000037322	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor/sars-cov-2 inhibitor	target	Bouvet M (2010)	20421945	238722	9963	Aurintricarboxylic acid	ATA|Aurintricarboxylic acid|Benzoic acid, 5-((3-carboxy-4-hydroxyphenyl)(3-carboxy-4-oxo-2,5-cyclohexadien-1-ylidene)methyl)-2-hydroxy-|3,3'-[(3-carboxy-4-oxocyclohexa-2,5-dien-1-ylidene)methanediyl]bis(6-hydroxybenzoic acid)|3,3'-[(3-Carboxy-4-oxocyclohexa-2,5-dien-1-ylidene)methylene]bis(6-hydroxybenzoic acid)|3,3'-[(3-Carboxy-4-oxo-2,5-cyclohexadien-1-ylidene)methylene]bis(6-hydroxybenzoic acid)|MFCD00011663	-	CHEMSPIDER	2172	C22H14O9	small molecule	-	4431-00-9	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV direct chemical interaction: pan-MTase inhibitor	GIXWDMTZECRIJT-UHFFFAOYSA-N
33113	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Zhang L (2020)	32198291	221191	9984	2-Methyl-2-propanyl {1-[(2S)-1-({(2S,3R)-4-(benzylamino)-3-hydroxy-4-oxo-1-[(3S)-2-oxo-3-pyrrolidinyl]-2-butanyl}amino)-3-cyclopropyl-1-oxo-2-propanyl]-2-oxo-1,2-dihydro-3-pyridinyl}carbamate	2-Methyl-2-propanyl {1-[(2S)-1-({(2S,3R)-4-(benzylamino)-3-hydroxy-4-oxo-1-[(3S)-2-oxo-3-pyrrolidinyl]-2-butanyl}amino)-3-cyclopropyl-1-oxo-2-propanyl]-2-oxo-1,2-dihydro-3-pyridinyl}carbamate	-	CHEMSPIDER	88294383	C31H41N5O7	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	FRACPXUHUTXLCX-BELIEFIBSA-N
